city,link,name,party,sex,city_en
Muğla,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7601,Mürsel ALBAN,CHP,E,MUGLA
Muğla,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7602,Suat ÖZCAN,CHP,E,MUGLA
Muğla,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7639,Süleyman GİRGİN,CHP,E,MUGLA
Muğla,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7673,Yelda EROL GÖKCAN,AK Parti,K,MUGLA
Muş,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7634,Gülüstan KILIÇ KOÇYİĞİT,HDP,K,MUS
Muş,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7252,Mehmet Emin ŞİMŞEK,AK Parti,E,MUS
Muş,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7622,Mensur IŞIK,BAĞIMSIZ,E,MUS
Muş,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7647,Şevin COŞKUN,HDP,K,MUS
Nevşehir,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7422,Faruk SARIASLAN,CHP,E,NEVSEHIR
Nevşehir,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7044,Mustafa AÇIKGÖZ,AK Parti,E,NEVSEHIR
Nevşehir,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7657,Yücel MENEKŞE,AK Parti,E,NEVSEHIR
Niğde,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7348,Ömer Fethi GÜRER,CHP,E,NIGDE
Niğde,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7546,Selim GÜLTEKİN,AK Parti,E,NIGDE
Niğde,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7544,Yavuz ERGUN,AK Parti,E,NIGDE
Ordu,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=5758,Cemal ENGİNYURT,BAĞIMSIZ,E,ORDU
Ordu,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7340,Ergün TAŞCI,AK Parti,E,ORDU
Ordu,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7341,Metin GÜNDOĞDU,AK Parti,E,ORDU
Ordu,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7057,Mustafa ADIGÜZEL,CHP,E,ORDU
Ordu,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7056,Seyit TORUN,CHP,E,ORDU
Ordu,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7470,Şenel YEDİYILDIZ,AK Parti,E,ORDU
Osmaniye,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7454,Baha ÜNLÜ,CHP,E,OSMANIYE
Osmaniye,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=5801,Devlet BAHÇELİ,MHP,E,OSMANIYE
Osmaniye,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7453,İsmail KAYA,AK Parti,E,OSMANIYE
Osmaniye,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7014,Mücahit DURMUŞOĞLU,AK Parti,E,OSMANIYE
Rize,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=5996,Hayati YAZICI,AK Parti,E,RIZE
Rize,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7413,Muhammed AVCI,AK Parti,E,RIZE
Rize,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=6848,Osman Aşkın BAK,AK Parti,E,RIZE
Sakarya,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=6822,Ali İhsan YAVUZ,AK Parti,E,SAKARYA
Sakarya,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7659,Çiğdem ERDOĞAN ATABEK,AK Parti,K,SAKARYA
Sakarya,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=6789,Engin ÖZKOÇ,CHP,E,SAKARYA
Sakarya,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7492,Kenan SOFUOĞLU,AK Parti,E,SAKARYA
Sakarya,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7489,Muhammed Levent BÜLBÜL,MHP,E,SAKARYA
Sakarya,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7069,Recep UNCUOĞLU,AK Parti,E,SAKARYA
Sakarya,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7503,Ümit DİKBAYIR,İYİ Parti,E,SAKARYA
Samsun,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=5577,Ahmet DEMİRCAN,AK Parti,E,SAMSUN
Samsun,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=5638,Bedri YAŞAR,İYİ Parti,E,SAMSUN
Samsun,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7262,Çiğdem KARAASLAN,AK Parti,K,SAMSUN
Samsun,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7290,Erhan USTA,BAĞIMSIZ,E,SAMSUN
Samsun,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7237,Fuat KÖKTAŞ,AK Parti,E,SAMSUN
Samsun,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7245,Kemal ZEYBEK,CHP,E,SAMSUN
Samsun,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7633,Neslihan HANCIOĞLU,CHP,K,SAMSUN
Samsun,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7381,Orhan KIRCALI,AK Parti,E,SAMSUN
Samsun,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7462,Yusuf Ziya YILMAZ,AK Parti,E,SAMSUN
Siirt,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7272,Meral DANIŞ BEŞTAŞ,HDP,K,SIIRT
Siirt,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=6901,Osman ÖREN,AK Parti,E,SIIRT
Siirt,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7576,Sıdık TAŞ,HDP,E,SIIRT
Sinop,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=6984,Barış KARADENİZ,CHP,E,SINOP
Sinop,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7361,Nazım MAVİŞ,AK Parti,E,SINOP
Sivas,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7423,Ahmet ÖZYÜREK,MHP,E,SIVAS
